排名,学校名称,省市,毕业生就业率,综合排名
413,广东海洋大学寸金学院,广东,95.07%,
413,沈阳城市学院,辽宁,95.07%,
413,四川大学锦江学院,四川,95.07%,
417,广西民族师范学院,广西,95.05%,
417,桂林理工大学,广西,95.05%,308
417,徐州医科大学,江苏,95.05%,147
417,中国戏曲学院,北京,95.05%,
421,河北地质大学,河北,95.02%,333
421,湖北经济学院法商学院,湖北,95.02%,
421,乐山师范学院,四川,95.02%,517
424,云南大学,云南,95.00%,121
424,中山大学南方学院,广东,95.00%,
426,福建医科大学,福建,94.99%,154
427,江西理工大学,江西,94.97%,398
428,郑州升达经贸管理学院,河南,94.96%,
429,天津理工大学中环信息学院,天津,94.95%,
430,北京科技大学,北京,94.91%,37
431,安徽医科大学,安徽,94.89%,146
431,成都中医药大学,四川,94.89%,302
433,山东财经大学,山东,94.86%,211
434,湖南中医药大学,湖南,94.83%,228
435,华北理工大学冀唐学院,河北,94.82%,
435,天津体育学院,天津,94.82%,
437,黑龙江科技大学,黑龙江,94.81%,463
438,广东财经大学华商学院,广东,94.80%,
438,湖南工学院,湖南,94.80%,564
438,首都医科大学,北京,94.80%,46
441,天津科技大学,天津,94.78%,228
442,天津商业大学宝德学院,天津,94.75%,
443,辽宁师范大学海华学院,辽宁,94.74%,
444,广西医科大学,广西,94.72%,114
445,周口师范学院,河南,94.64%,548
446,青岛理工大学琴岛学院,山东,94.62%,
447,成都理工大学工程技术学院,四川,94.61%,
448,中国地质大学（北京）,北京,94.60%,69
449,川北医学院,四川,94.56%,364
449,吉林大学,吉林,94.56%,23
451,安徽农业大学,安徽,94.54%,302
451,华东政法大学,上海,94.54%,
453,巢湖学院,安徽,94.53%,598
454,大连工业大学,辽宁,94.52%,333
454,西华师范大学,四川,94.52%,241
456,陕西科技大学,陕西,94.50%,268
456,武汉工程大学,湖北,94.50%,161
456,武汉科技大学,湖北,94.50%,137
459,华中科技大学,湖北,94.48%,8
459,辽宁工业大学,辽宁,94.48%,191
461,湘潭大学,湖南,94.47%,125
462,鲁东大学,山东,94.46%,425
463,荆楚理工学院,湖北,94.43%,496
463,四川外国语大学重庆南方翻译学院,重庆,94.43%,
465,西安交通大学城市学院,陕西,94.41%,
465,浙江传媒学院,浙江,94.41%,265
467,嘉应学院,广东,94.40%,557
467,浙江大学宁波理工学院,浙江,94.40%,
467,中国音乐学院,北京,94.40%,
470,沈阳理工大学,辽宁,94.37%,420
471,南京农业大学,江苏,94.36%,71
472,大连海洋大学,辽宁,94.35%,373
472,齐齐哈尔大学,黑龙江,94.35%,443
472,温州医科大学仁济学院,浙江,94.35%,
475,合肥师范学院,安徽,94.33%,526
476,四川民族学院,四川,94.32%,
477,集美大学诚毅学院,福建,94.28%,
477,长沙学院,湖南,94.28%,373
479,湖北汽车工业学院科技学院,湖北,94.26%,
480,成都东软学院,四川,94.24%,
481,安徽财经大学,安徽,94.23%,184
482,同济大学浙江学院,浙江,94.22%,
483,安阳师范学院,河南,94.10%,358
483,厦门大学,福建,94.10%,22
485,商丘师范学院,河南,94.09%,506
485,长江大学文理学院,湖北,94.09%,
487,广西师范大学,广西,94.05%,157
487,西南大学,重庆,94.05%,76
487,中国石油大学（北京）,北京,94.05%,97
490,玉林师范学院,广西,94.04%,329
491,湖北师范大学,湖北,94.03%,258
491,湖北中医药大学,湖北,94.03%,204
493,三峡大学,湖北,94.02%,150
494,河北工业大学,河北,94.01%,121
494,燕山大学,河北,94.01%,110
496,东北林业大学,黑龙江,94.00%,147
496,中央戏剧学院,北京,94.00%,
498,吉林师范大学,吉林,93.99%,258
499,重庆师范大学涉外商贸学院,重庆,93.97%,
500,辽宁工程技术大学,辽宁,93.91%,373
500,武汉轻工大学,湖北,93.91%,228
502,吉首大学,湖南,93.90%,364
502,辽宁中医药大学,辽宁,93.90%,273
504,大连理工大学,辽宁,93.89%,25
505,武昌工学院,湖北,93.88%,
505,长春工业大学,吉林,93.88%,313
507,哈尔滨学院,黑龙江,93.87%,427
507,华东师范大学,上海,93.87%,32
509,天津理工大学,天津,93.84%,207
510,山东工艺美术学院,山东,93.83%,
511,沈阳音乐学院,辽宁,93.82%,
512,武汉科技大学城市学院,湖北,93.81%,
513,安徽师范大学皖江学院,安徽,93.79%,
514,中南财经政法大学,湖北,93.78%,77
515,南京大学,江苏,93.77%,7
516,成都理工大学,四川,93.76%,247
516,中国海洋大学,山东,93.76%,60
518,辽宁何氏医学院,辽宁,93.74%,
518,长安大学,陕西,93.74%,126
520,济南大学,山东,93.68%,157
521,福州大学,福建,93.67%,67
521,湖南农业大学,湖南,93.67%,217
523,武汉东湖学院,湖北,93.63%,
524,重庆理工大学,重庆,93.61%,279
525,山东青年政治学院,山东,93.60%,
525,中国科学技术大学,安徽,93.60%,6
527,安徽三联学院,安徽,93.58%,
527,重庆师范大学,重庆,93.58%,270
529,中国矿业大学徐海学院,江苏,93.57%,
530,桂林医学院,广西,93.56%,243
531,武汉工程科技学院,湖北,93.55%,
532,枣庄学院,山东,93.53%,600
533,四川师范大学,四川,93.51%,243
534,安徽师范大学,安徽,93.50%,215
534,内江师范学院,四川,93.50%,479
534,山东体育学院,山东,93.50%,
537,武昌理工学院,湖北,93.47%,
538,钦州学院,广西,93.45%,489
538,青海民族大学,青海,93.45%,
540,河北师范大学,河北,93.41%,173
540,上海海关学院,上海,93.41%,
542,河北医科大学临床学院,河北,93.38%,
543,郑州成功财经学院,河南,93.36%,
544,南京体育学院,江苏,93.33%,
545,安徽大学,安徽,93.32%,118
545,西安外事学院,陕西,93.32%,
547,西安建筑科技大学,陕西,93.31%,220
548,湖南科技大学,湖南,93.30%,254
548,湖南科技学院,湖南,93.30%,574
548,武汉纺织大学,湖北,93.30%,184
551,西北大学现代学院,陕西,93.29%,
552,海南师范大学,海南,93.27%,352
552,六盘水师范学院,贵州,93.27%,
552,浙江海洋大学东海科学技术学院,浙江,93.27%,
555,贵阳学院,贵州,93.26%,574
556,池州学院,安徽,93.25%,561
556,梧州学院,广西,93.25%,
558,湖南文理学院,湖南,93.24%,438
558,聊城大学东昌学院,山东,93.24%,
560,上海财经大学,上海,93.23%,39
561,武汉设计工程学院,湖北,93.22%,
562,电子科技大学成都学院,四川,93.21%,
562,深圳大学,广东,93.21%,91
564,文华学院,湖北,93.19%,
565,齐鲁医药学院,山东,93.18%,
566,贵州医科大学神奇民族医药学院,贵州,93.17%,
566,天津音乐学院,天津,93.17%,
566,西安理工大学,陕西,93.17%,191
569,铜陵学院,安徽,93.15%,566
570,湖北理工学院,湖北,93.14%,408
570,怀化学院,湖南,93.14%,580
572,青岛农业大学,山东,93.13%,454
573,南京中医药大学,江苏,93.12%,169
573,重庆邮电大学,重庆,93.12%,195
575,贵州民族大学人文科技学院,贵州,93.11%,
575,山东财经大学东方学院,山东,93.11%,
577,长春中医药大学,吉林,93.10%,265
578,福建江夏学院,福建,93.08%,
578,桂林电子科技大学,广西,93.08%,256
578,南京中医药大学翰林学院,江苏,93.08%,
578,武汉体育学院,湖北,93.08%,
582,绍兴文理学院,浙江,93.07%,296
582,武汉工程大学邮电与信息工程学院,湖北,93.07%,
584,贵阳中医学院,贵州,93.06%,539
585,吉林农业大学,吉林,93.04%,377
586,长江大学,湖北,93.03%,220
587,大连交通大学,辽宁,93.02%,301
587,郑州大学,河南,93.02%,147
589,福建中医药大学,福建,93.01%,258
590,黄冈师范学院,湖北,92.97%,296
591,西南政法大学,重庆,92.96%,
592,天津农学院,天津,92.94%,479
593,宁夏大学,宁夏,92.92%,296
594,陕西师范大学,陕西,92.91%,102
595,湖北民族学院,湖北,92.90%,386
595,烟台大学,山东,92.90%,308
597,重庆第二师范学院,重庆,92.88%,489
598,蚌埠学院,安徽,92.86%,590
599,武汉音乐学院,湖北,92.85%,
600,河北建筑工程学院,河北,92.82%,
601,苏州大学,江苏,92.81%,27
602,宜宾学院,四川,92.80%,537
603,湖南第一师范学院,湖南,92.79%,377
603,湖南师范大学,湖南,92.79%,110
605,广西中医药大学,广西,92.78%,258
606,西华大学,四川,92.77%,377
607,武汉华夏理工学院,湖北,92.76%,
608,黑河学院,黑龙江,92.75%,
609,许昌学院,河南,92.73%,485
610,银川能源学院,宁夏,92.72%,
611,陕西中医药大学,陕西,92.71%,386
612,华中师范大学,湖北,92.70%,43
612,重庆警察学院,重庆,92.70%,
614,广西大学行健文理学院,广西,92.68%,
615,河南财经政法大学,河南,92.63%,279
616,西安科技大学,陕西,92.61%,348
617,安徽工业大学工商学院,安徽,92.60%,
617,南京大学金陵学院,江苏,92.60%,
619,贺州学院,广西,92.59%,542
620,大连民族大学,辽宁,92.58%,313
621,沈阳化工大学,辽宁,92.57%,415
622,吉首大学张家界学院,湖南,92.53%,
622,山东交通学院,山东,92.53%,553
624,武汉工商学院,湖北,92.51%,
624,新疆财经大学,新疆,92.51%,
626,贵州大学科技学院,贵州,92.44%,
626,淮南师范学院,安徽,92.44%,593
626,西安工业大学,陕西,92.44%,323
626,西安外国语大学,陕西,92.44%,
630,潍坊学院,山东,92.41%,587
631,长沙医学院,湖南,92.38%,
632,哈尔滨商业大学,黑龙江,92.37%,352
632,宁夏大学新华学院,宁夏,92.37%,
634,西北工业大学明德学院,陕西,92.36%,
635,河南工业大学,河南,92.35%,294
636,湖北经济学院,湖北,92.34%,235
637,烟台南山学院,山东,92.31%,
638,泰山学院,山东,92.29%,553
639,首都师范大学科德学院,北京,92.28%,
640,中国矿业大学银川学院,宁夏,92.27%,
641,吉林财经大学,吉林,92.26%,273
642,成都体育学院,四川,92.25%,
643,湖南女子学院,湖南,92.22%,
644,北京体育大学,北京,92.20%,161
644,长春大学,吉林,92.20%,346
646,安徽大学江淮学院,安徽,92.16%,
646,甘肃农业大学,甘肃,92.16%,467
646,桂林理工大学博文管理学院,广西,92.16%,
646,湖南商学院,湖南,92.16%,352
650,南开大学滨海学院,天津,92.13%,
651,陕西学前师范学院,陕西,92.12%,
651,武汉传媒学院,湖北,92.12%,
651,西安文理学院,陕西,92.12%,425
651,新乡学院,河南,92.12%,532
651,重庆科技学院,重庆,92.12%,493
656,洛阳理工学院,河南,92.11%,474
656,天津城建大学,天津,92.11%,438
658,天津师范大学,天津,92.10%,157
659,山东英才学院,山东,92.06%,
660,湖北医药学院药护学院,湖北,92.04%,
661,河南师范大学,河南,92.02%,207
662,湖北大学,湖北,92.01%,120
662,中山大学,广东,92.01%,9
664,大连财经学院,辽宁,92.00%,
664,长江大学工程技术学院,湖北,92.00%,
664,中国地质大学长城学院,河北,92.00%,
667,中南林业科技大学,湖南,91.97%,270
668,昆明理工大学,云南,91.96%,258
